target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
abat,a-ba,26.71,XXX,fil-maZ
barrer,ba-Re,26.71,filmage,fil-maZ
réa,Re-a,0.88,ictus,ik-tys
haha,a-a,0.59,troubler,tRu-ble
aa,a-a,0.01,liron,li-R§
ahan,a-@,0,début,de-by
encas,@-ka,0.4,cosy,ko-zi
kama,ka-ma,0.14,sourcier,suR-sje
mao,ma-o,0.21,blindé,bl5-de
opéra,o-pe-Ra,19.61,pardessus,paR-d°-sy
rader,Ra-de,0.47,munir,my-niR
déca,de-ka,1.16,péage,pe-aZ
kappa,ka-pa,0.17,stylet,sti-lE
papa,pa-pa,259.01,féroce,fe-ROs
para,pa-Ra,3.23,filage,fi-laZ
ramas,Ra-ma,0.01,manège,ma-nEZ
mara,ma-Ra,0.41,foutral,fu-tRal
rassis,Ra-si,0.17,polo,po-lo
sima,si-ma,0.37,coupable,ku-pabl
mahatma,ma-at-ma,0.04,constitué,k§s-ti-t8e
marrer,ma-Re,16.13,cloner,klO-ne
récit,Re-si,9.89,porter,pOR-tER
cirer,si-Re,6.42,manège,ma-nEZ
répit,Re-pi,3.87,larron,la-R§
pica,pi-ka,0.01,jucher,Zy-Se
chaos,ka-o,11.3,rapin,Ra-p5
ohé,o-e,5.24,malheur,ma-l9R
écho,e-ko,6.65,glaneur,gla-n9R
codé,ko-de,2.26,christmas,kRis-mas
dépecer,de-p°-se,1.18,ennuyé,@-n8i-je
céder,se-de,24.21,cabri,ka-bRi
decca,de-ka,0.26,jersey,ZER-zE
cahot,ka-o,0.08,finale,fi-nal
oka,o-ka,0,riflard,Ri-flaR
carat,ka-Ra,1.46,étiage,e-tjaZ
rami,Ra-mi,0.48,pillard,pi-jaR
mica,mi-ka,0.34,tanner,ta-ne
carré,ka-Re,4.92,sabord,sa-bOR
réal,Re-al,0.16,puni,py-ni
alpha,al-fa,2.09,choriste,ko-Rist
fader,fa-de,0.01,vivable,vi-vabl
déco,de-ko,2.25,mesquin,mEs-k5
coder,ko-de,2.19,crevant,kR°-v@
déci,de-si,0.01,tonic,to-nik
