target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
écho,e-ko,6.65,enfer,@-fER
codé,ko-de,2.26,tricot,tRi-ko
déca,de-ka,1.16,croyable,kRwa-jabl
kama,ka-ma,0.14,dc,de-se
mao,ma-o,0.21,asti,as-ti
ohé,o-e,5.24,légal,le-gal
hémi,e-mi,0,sherpa,SER-pa
mica,mi-ka,0.34,accro,a-kRo
kappa,ka-pa,0.17,loupiot,lu-pjo
para,pa-Ra,3.23,taulier,to-lje
rader,Ra-de,0.47,ferré,fE-Re
déco,de-ko,2.25,verdir,vER-diR
coca,ko-ka,14.53,bimestre,bi-mEstR
chaos,ka-o,11.3,comma,kO-ma
oka,o-ka,0,collage,ko-laZ
carat,ka-Ra,1.46,macis,ma-si
ramas,Ra-ma,0.01,ictère,ik-tER
mara,ma-Ra,0.41,casseur,ka-s9R
rabat,Ra-ba,0.38,cornette,kOR-nEt
bader,ba-de,0.4,tango,t@-go
débat,de-ba,10.7,prouvé,pRu-ve
barrer,ba-Re,26.71,bardage,baR-daZ
réa,Re-a,0.88,cosmos,kOs-mos
ahan,a-@,0,margaux,maR-go
encas,@-ka,0.4,refuge,R°-fyZ
cabas,ka-ba,0.14,placide,pla-sid
bassa,ba-sa,0,rorqual,ROR-kal
sabbat,sa-ba,3.28,balai,ba-lE
babi,ba-bi,0.02,vicomte,vi-k§t
bicot,bi-ko,0.11,rencard,R@-kaR
cocon,ko-k§,1.65,azote,a-zOt
condé,k§-de,0.1,diseur,di-z9R
déci,de-si,0.01,filon,fi-l§
sima,si-ma,0.37,scolaire,sko-lER
marrer,ma-Re,16.13,blinder,bl5-de
récit,Re-si,9.89,figer,fi-Ze
cirer,si-Re,6.42,tissage,ti-saZ
répit,Re-pi,3.87,rabattre,Ra-batR
pica,pi-ka,0.01,critique,kRi-tik
carré,ka-Re,4.92,fignard,fi-NaR
réal,Re-al,0.16,tancer,t@-se
alpha,al-fa,2.09,meunier,m2-nje
fader,fa-de,0.01,sociable,so-sjabl
démis,de-mi,0.13,rupteur,Ryp-t9R
