target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
chopper,SO-pER,0.29,ouvroir,uv-RwaR
perco,pER-ko,0.07,arbuste,aR-byst
codé,ko-de,2.26,lamper,l@-pe
déca,de-ka,1.16,wagon,va-g§
kama,ka-ma,0.14,biseau,bi-zo
mao,ma-o,0.21,atlante,at-l@t
ohé,o-e,5.24,kali,ka-li
écho,e-ko,6.65,glacer,gla-se
coca,ko-ka,14.53,critique,kRi-tik
kappa,ka-pa,0.17,nasdaq,naz-dak
para,pa-Ra,3.23,kroumir,kRu-miR
rader,Ra-de,0.47,putting,p9-tiG
déco,de-ko,2.25,rapide,Ra-pid
cocon,ko-k§,1.65,vaquer,va-ke
condé,k§-de,0.1,sabrer,sa-bRe
débat,de-ba,10.7,fourbir,fuR-biR
bader,ba-de,0.4,slibard,sli-baR
déci,de-si,0.01,juré,Zy-Re
sima,si-ma,0.37,pontin,p§-t5
mara,ma-Ra,0.41,choyé,Swa-je
ramas,Ra-ma,0.01,couiner,kwi-ne
marrer,ma-Re,16.13,glaïeul,gla-j9l
réa,Re-a,0.88,chichi,Si-Si
ahan,a-@,0,malus,ma-lys
encas,@-ka,0.4,chineur,Si-n9R
chaos,ka-o,11.3,macis,ma-si
oka,o-ka,0,mister,mis-t9R
carat,ka-Ra,1.46,miroir,mi-RwaR
rabat,Ra-ba,0.38,voiture,vwa-tyR
barrer,ba-Re,26.71,genou,Z°-nu
récit,Re-si,9.89,serti,sER-ti
cirer,si-Re,6.42,yogi,jo-gi
répit,Re-pi,3.87,faquin,fa-k5
pica,pi-ka,0.01,côtier,ko-tje
cabas,ka-ba,0.14,butoir,by-twaR
bassa,ba-sa,0,lillois,li-lwa
sabbat,sa-ba,3.28,pluton,ply-t§
babi,ba-bi,0.02,limon,li-m§
bicot,bi-ko,0.11,imberbe,5-bERb
coma,ko-ma,12.66,baou,ba-u
macis,ma-si,0.01,bêler,be-le
sidi,si-di,0,rappel,Ra-pEl
dico,di-ko,0.77,censé,s@-se
commis,ko-mi,2.99,décuple,de-kypl
mica,mi-ka,0.34,cluster,kl9s-t9R
carré,ka-Re,4.92,tourné,tuR-ne
réal,Re-al,0.16,laçage,la-saZ
alpha,al-fa,2.09,fouloir,fu-lwaR
fader,fa-de,0.01,cocon,ko-k§
démis,de-mi,0.13,sérum,se-ROm
