target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
castrat,kas-tRa,0.09,caban,ka-b@
tracas,tRa-ka,1.43,species,spe-sjEs
kama,ka-ma,0.14,aboi,a-bwa
mao,ma-o,0.21,aubour,o-buR
ohé,o-e,5.24,beagle,bi-g9l
écho,e-ko,6.65,pétrin,pe-tR5
codé,ko-de,2.26,pocher,po-Se
déca,de-ka,1.16,broncher,bR§-Se
kappa,ka-pa,0.17,clavier,kla-vje
para,pa-Ra,3.23,ancrer,@-kRe
rader,Ra-de,0.47,calva,kal-va
déco,de-ko,2.25,enfoui,@-fwi
coca,ko-ka,14.53,gisant,Zi-z@
chaos,ka-o,11.3,sérial,se-Rjal
oka,o-ka,0,flashage,fla-SaZ
carat,ka-Ra,1.46,bulldog,bul-dOg
ramas,Ra-ma,0.01,tarare,ta-RaR
mara,ma-Ra,0.41,parlant,paR-l@
rabat,Ra-ba,0.38,capot,ka-po
bader,ba-de,0.4,précis,pRe-si
débat,de-ba,10.7,strier,stRi-je
barrer,ba-Re,26.71,jungien,ju-Gj5
réa,Re-a,0.88,étiage,e-tjaZ
ahan,a-@,0,clichage,kli-SaZ
encas,@-ka,0.4,talkie,tOl-ki
cabas,ka-ba,0.14,bocage,bo-kaZ
bassa,ba-sa,0,gaviot,ga-vjo
sabbat,sa-ba,3.28,troufion,tRu-fj§
babi,ba-bi,0.02,gastro,gas-tRo
bicot,bi-ko,0.11,coulage,ku-laZ
cocon,ko-k§,1.65,inti,5-ti
condé,k§-de,0.1,bouler,bu-le
déci,de-si,0.01,jigger,dZi-g9R
sima,si-ma,0.37,pastis,pas-tis
marrer,ma-Re,16.13,diamant,dja-m@
récit,Re-si,9.89,supin,sy-p5
cirer,si-Re,6.42,soudard,su-daR
répit,Re-pi,3.87,sifflet,si-flE
pica,pi-ka,0.01,syrien,si-Rj5
carré,ka-Re,4.92,replat,R°-pla
réal,Re-al,0.16,obscur,Op-skyR
alpha,al-fa,2.09,tubard,ty-baR
fader,fa-de,0.01,passible,pa-sibl
démis,de-mi,0.13,pyrex,pi-REks
mica,mi-ka,0.34,nounours,nu-nuRs
cassis,ka-si,0.67,putier,py-tje
sidi,si-di,0,iman,i-m@
dico,di-ko,0.77,pinceur,p5-s9R
coma,ko-ma,12.66,maya,ma-ja
macis,ma-si,0.01,cocher,ko-Se
sipo,si-po,0.03,jambage,Z@-baZ
paumer,po-me,4.27,grimage,gRi-maZ
méat,me-a,0,rapper,Ra-pe
haka,a-ka,0.01,touffu,tu-fy
kami,ka-mi,0.2,trident,tRi-d@
mirer,mi-Re,0.48,ponté,p§-te
rainer,Re-ne,0.82,olympe,o-l5p
néo,ne-o,0.62,châtel,Sa-tEl
aussi,o-si,1402.33,spolié,spo-lje
sitôt,si-to,3.59,sulfate,syl-fat
thomas,to-ma,4.83,voyou,vwa-ju
masser,ma-se,5.69,fraudeur,fRo-d9R
céder,se-de,24.21,repaire,R°-pER
dc,de-se,0.58,coolos,ku-los
secco,se-ko,0,toquard,to-kaR
commis,ko-mi,2.99,dhole,do-l2
mimer,mi-me,0.93,ajax,a-Zaks
messie,me-si,0.69,épris,e-pRi
sirop,si-Ro,5.75,papas,pa-pa
rôder,Ro-de,5.76,gredin,gR°-d5
dépit,de-pi,5.82,frocard,fRo-kaR
pipa,pi-pa,0.02,croupion,kRu-pj§
parer,pa-Re,30.5,mensuel,m@-s8El
rêver,Re-ve,122.95,encor,@-kOR
veto,ve-to,1.94,pétase,pe-taz
toper,to-pe,2.59,pourcif,puR-sif
pédé,pe-de,33.12,bâtir,ba-tiR
délit,de-li,13.52,pensif,p@-sif
lycée,li-se,42.56,vertige,vER-tiZ
serrer,se-Re,50.99,radius,Ra-djys
réac,Re-ak,0.59,fouleur,fu-l9R
axer,ak-se,0.61,palper,pal-pe
sénat,se-na,1.38,crayon,kRE-j§
narrer,na-Re,0.24,indic,5-dik
répons,Re-p§,0.04,dépit,de-pi
pomper,p§-pe,5.24,sommer,so-me
péan,pe-@,0,zébu,ze-by
emmi,@-mi,0.03,zéro,ze-Ro
milli,mi-li,0.16,infus,5-fy
limer,li-me,1.07,broutard,bRu-taR
méta,me-ta,0.14,bronzer,bR§-ze
