target,target_p,frequlemfilms2,distractor,distractor_p
,,,,
ohé,o-e,5.24,quérir,ke-RiR
écho,e-ko,6.65,segment,sEg-m@
codé,ko-de,2.26,cloaque,klo-ak
déca,de-ka,1.16,cacique,ka-sik
kama,ka-ma,0.14,plaqué,pla-ke
mao,ma-o,0.21,latex,la-tEks
oka,o-ka,0,dressoir,dRE-swaR
kappa,ka-pa,0.17,heptane,Ep-tan
para,pa-Ra,3.23,fraisier,fRe-zje
rader,Ra-de,0.47,royal,Rwa-jal
déco,de-ko,2.25,magret,ma-gRE
coca,ko-ka,14.53,foret,fo-RE
chaos,ka-o,11.3,village,vi-laZ
aussi,o-si,1402.33,routage,Ru-taZ
sima,si-ma,0.37,vexé,vEk-se
mara,ma-Ra,0.41,japper,Za-pe
ramas,Ra-ma,0.01,frimer,fRi-me
marrer,ma-Re,16.13,fusain,fy-z5
réa,Re-a,0.88,jeudi,Z2-di
ahan,a-@,0,ciboire,si-bwaR
encas,@-ka,0.4,venté,v@-te
carat,ka-Ra,1.46,local,lo-kal
rabat,Ra-ba,0.38,vivant,vi-v@
bader,ba-de,0.4,sprinteur,spRi-t9R
débat,de-ba,10.7,espion,Es-pj§
barrer,ba-Re,26.71,vicaire,vi-kER
récit,Re-si,9.89,haler,a-le
cirer,si-Re,6.42,exprès,Ek-spRE
répit,Re-pi,3.87,sensas,s@-sas
pica,pi-ka,0.01,taret,ta-RE
cabas,ka-ba,0.14,natron,na-tR§
bassa,ba-sa,0,ivrogne,i-vRON
sabbat,sa-ba,3.28,rebelle,R°-bEl
babi,ba-bi,0.02,groschen,gRo-S°n
bicot,bi-ko,0.11,tiret,ti-RE
cocon,ko-k§,1.65,deuzio,d2-zjo
condé,k§-de,0.1,bacille,ba-sil
déci,de-si,0.01,vernier,vER-nje
sidi,si-di,0,poker,po-kER
dico,di-ko,0.77,marqueur,maR-k9R
coma,ko-ma,12.66,parler,paR-le
macis,ma-si,0.01,vernir,vER-niR
sipo,si-po,0.03,nasique,na-zik
paumer,po-me,4.27,fixé,fik-se
méat,me-a,0,trictrac,tRik-tRak
haka,a-ka,0.01,placet,pla-sE
carré,ka-Re,4.92,palais,pa-lE
réal,Re-al,0.16,piémont,pje-m§
alpha,al-fa,2.09,tonique,to-nik
fader,fa-de,0.01,gabier,ga-bje
démis,de-mi,0.13,mezzo,mEd-zo
mica,mi-ka,0.34,archer,aR-Se
cassis,ka-si,0.67,crucial,kRy-sjal
sitôt,si-to,3.59,éclos,e-klo
thomas,to-ma,4.83,semeur,s°-m9R
masser,ma-se,5.69,plaqueur,pla-k9R
céder,se-de,24.21,stylite,sti-lit
dc,de-se,0.58,verdier,vER-dje
secco,se-ko,0,respect,REs-pE
commis,ko-mi,2.99,bander,b@-de
mirer,mi-Re,0.48,sirdar,siR-daR
rainer,Re-ne,0.82,blocage,blo-kaZ
néo,ne-o,0.62,ficher,fi-Se
omis,o-mi,0.02,sixième,si-zjEm
mimer,mi-me,0.93,bitume,bi-tym
messie,me-si,0.69,colza,kOl-za
sirop,si-Ro,5.75,millet,mi-jE
